average_flux,air_temp_avg,deep_soil_temp,mid_soil_temp,shallow_soil_temp,soil_moisture,light,time
1.2468,16.19,3.8135,4.7255,7.368,0.167,853.8,13.5
1.2996,15.008,4.4537,5.3802,7.2343,0.16783,200.47,13.542
0.99083,13.96,4.7813,5.5947,6.8553,0.167,115.47,13.583
0.90443,13.174,4.926,5.4783,6.509,0.167,104.42,13.625
1.068,11.835,5.0452,5.407,6.348,0.167,91.717,13.667
0.91666,6.6217,5.0673,5.0542,5.7063,0.167,3.8,13.708
1.3335,3.74,4.934,4.5175,4.921,0.167,1.3,13.75
1.3603,2.46,4.7183,4.0301,4.2458,0.16783,1.3,13.792
1.0342,2.6033,4.4843,3.681,3.7573,0.167,1.3,13.833
1.0891,3.6325,4.343,3.5764,3.6303,0.16762,1.3,13.875
1.1454,3.74,4.2103,3.4758,3.5467,0.16741,1.3,13.917
1.3047,3.74,4.1058,3.3812,3.4373,0.16739,1.3,13.958
0.51201,3.74,3.9965,3.2465,3.274,0.16731,1.3,14
0.67075,4.15,3.905,3.1653,3.1993,0.16729,1.3,14.042
0.76371,4.57,3.8395,3.097,3.1333,0.16726,1.3,14.083
0.54226,4.0475,3.7805,3.0383,3.0695,0.16728,1.3,14.125
1.2996,3.4533,3.7253,2.9643,3.018,0.16725,1.3,14.167
1.0124,2.5317,3.6464,2.8332,2.8677,0.16722,1.3,14.208
0.55064,1.17,3.55,2.595,2.557,0.16717,1.3,14.25
1.0301,0.1025,3.3957,2.3298,2.227,0.16715,3.8,14.292
1.0269,0.80333,3.2543,2.1757,2.0383,0.16714,31.717,14.333
0.97851,4.1512,3.1795,2.2282,2.1077,0.16713,78.175,14.375
0.71505,5.9467,3.162,2.4095,2.352,0.16712,105.05,14.417
1.0868,9.9492,3.3218,3.1194,4.397,0.1671,853.59,14.458
0.84171,4.78,3.932,4.2715,6,0.1671,117.55,14.5
0.80794,5.0583,4.2321,4.4973,5.5477,0.16709,286.3,14.542
1.0878,4.0133,4.4497,4.5407,5.4193,0.16708,42.133,14.583
1.0036,3.8937,4.4995,4.428,5.089,0.16708,37.863,14.625
0.87199,3.74,4.5103,4.2885,4.8003,0.16707,10.883,14.667
1.1395,3.31,4.4952,4.1843,4.6143,0.16705,1.925,14.708
1.017,2.89,4.454,4.049,4.402,0.16705,1.3,14.75
0.64353,2.46,4.3998,3.9358,4.2113,0.16704,1.3,14.792
1.0103,2.03,4.3283,3.8133,4.0457,0.16707,1.3,14.833
1.038,1.6,4.2878,3.7049,3.8865,0.16716,1.3,14.875
0.79626,1.0967,4.1932,3.5502,3.6873,0.16729,1.3,14.917
0.99475,0.54667,4.0951,3.3986,3.5163,0.16744,1.3,14.958
0.37748,0.29,3.997,3.2865,3.354,0.16759,1.3,15
0.72508,0.29,3.9158,3.1604,3.2167,0.16776,1.3,15.042
0.9388,-0.01,3.8352,3.0392,3.063,0.16791,1.3,15.083
0.85566,-0.61,3.7606,2.9286,2.9895,0.16801,1.3,15.125
0.93337,-0.61,3.6812,2.6968,2.619,0.16815,1.3,15.167
0.84637,-0.61,3.5279,2.5482,2.4005,0.16829,1.3,15.208
0.61916,-1.06,3.418,2.4755,2.396,0.16843,1.3,15.25
0.8696,-1.51,3.3341,2.4198,2.3655,0.16857,1.7167,15.292
0.71922,-1.135,3.2725,2.364,2.325,0.16871,20.883,15.333
0.86919,-0.61,3.2363,2.3486,2.3632,0.1688,28.487,15.375
0.9395,0.14,3.2065,2.3285,2.3787,0.16891,128.38,15.417
0.80727,1.8867,3.1665,2.3397,2.396,0.16902,750.05,15.458
0.99412,1.6,3.167,2.369,2.584,0.16911,420.05,15.5
1.0394,1.2775,3.1697,2.369,2.637,0.16918,330.05,15.542
0.54038,1.17,3.1718,2.3778,2.5743,0.16925,128.38,15.583
0.88006,1.6,3.1574,2.369,2.4097,0.16929,140.05,15.625
0.93065,1.9583,3.1583,2.3777,2.6103,0.16931,120.47,15.667
0.87099,0.80333,3.1383,2.3173,2.4633,0.16934,8.5917,15.708
0.57781,0.29,3.0875,2.2345,2.289,0.16937,1.3,15.75
0.78264,-1.3608,3.0053,2.1495,2.0337,0.1694,1.3,15.792
0.73259,-2.7467,2.9192,1.9877,1.706,0.16945,1.3,15.833
0.77421,-3.73,2.8146,1.8165,1.5408,0.16951,1.3,15.875
0.82613,-4.9833,2.692,1.5588,1.407,0.16959,1.3,15.917
0.87019,-6.2267,2.5719,1.3343,1.244,0.1697,1.3,15.958
0.52685,-6.82,2.4335,1.15,1.071,0.16984,1.3,16
0.24449,-7.33,2.3108,1.0135,0.89783,0.16998,1.3,16.042
0.61603,-7.33,2.192,0.89,0.788,0.17012,1.3,16.083
0.88786,-7.33,2.1041,0.79737,0.66675,0.17023,1.3,16.125
0.79882,-8.2917,2.0125,0.69317,0.58633,0.17036,1.3,16.167
0.69138,-8.38,1.9117,0.60617,0.467,0.1705,1.3,16.208
0.64764,-8.38,1.828,0.5325,0.384,0.17064,1.3,16.25
0.58711,-8.38,1.747,0.45,0.32433,0.17078,5.4667,16.292
0.74317,-6.99,1.689,0.39467,0.218,0.17089,30.05,16.333
0.6636,-4.4525,1.6424,0.367,0.18325,0.17097,45.988,16.375
0.76589,-1.06,1.6165,0.414,0.163,0.17099,121.3,16.417
0.68558,4.185,1.5761,0.46733,0.218,0.17095,770.26,16.458
0.90155,6.42,1.558,0.479,0.246,0.17089,898.8,16.5
0.85508,7.03,1.5467,0.4925,0.301,0.17081,179.84,16.542
